Ville,Description_Temps,Température_Ressentie (°C),Humidite_WM,Pression_Atmosphérique (hPa),Niveau_Mer (hPa),Pression_Sol (hPa),Vitesse_Vent (m/sec),Direction_Vent (DEG),Rafales_Vent (m/sec),Précipitations_1h (mm/h),Couverture_Nuageuse (%),Heure_Lever_Soleil,Heure_Coucher_Soleil
Lille,couvert,285.14,63,1011,1011,1007,5.14,250,0.0,0,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,290.38,71,1004,1004,985,2.57,150,0.0,0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,287.61,49,1009,1009,993,2.57,80,0.0,0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,couvert,285.59,64,1012,1012,1002,4.63,300,0.0,0,100,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,nuageux,283.23,83,1016,1016,1008,4.63,340,0.0,0,75,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,couvert,280.06,88,1016,1016,1013,6.17,270,0.0,0,100,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,couvert,289.04,51,1007,1007,999,3.58,322,12.07,0,100,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,nuageux,286.47,67,1016,1016,994,8.23,300,13.38,0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,287.59,51,1011,1011,979,5.66,350,0.0,0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,couvert,287.45,60,1017,1017,1012,7.2,310,0.0,0,100,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,pluie modérée,284.18,71,1011,1011,1007,5.14,260,0.0,1.54,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,290.16,72,1004,1004,985,2.57,150,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,288.9,39,1009,1009,993,2.57,80,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,couvert,285.13,72,1013,1013,1002,4.63,300,0.0,0.0,100,2025-03-28 05:36:30,2025-03-28 18:14:40
Rennes,nuageux,284.39,76,1016,1016,1008,4.12,340,0.0,0.0,75,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,forte pluie,283.8,93,1016,1016,1013,5.66,290,0.0,4.21,100,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,couvert,290.4,38,1007,1007,999,9.83,307,13.86,0.0,100,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,nuageux,288.2,51,1016,1016,994,8.75,280,0.0,0.0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,288.12,43,1011,1011,979,5.66,360,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,nuageux,286.56,67,1017,1017,1012,7.72,290,0.0,0.0,75,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,légère pluie,284.21,72,1011,1011,1007,5.14,260,0.0,0.99,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,290.11,70,1003,1003,984,2.06,170,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,288.82,36,1009,1009,992,2.06,50,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,couvert,284.96,74,1012,1012,1002,4.63,300,0.0,0.0,100,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,nuageux,284.39,76,1016,1016,1008,4.12,340,0.0,0.0,75,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,brume,283.8,93,1016,1016,1013,5.66,290,0.0,2.9,100,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,couvert,290.4,38,1006,1006,999,8.94,317,11.18,0.0,100,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,nuageux,288.2,51,1015,1015,994,8.75,280,0.0,0.0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,288.02,43,1011,1011,978,5.66,360,0.0,0.0,0,2025-03-28 05:28:13,2025-03-28 18:02:52
Bordeaux,nuageux,286.56,67,1017,1017,1012,7.72,290,0.0,0.0,75,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,pluie modérée,284.21,72,1011,1011,1007,5.14,260,0.0,1.12,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,289.5,72,1003,1003,984,2.06,140,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,288.82,36,1009,1009,992,1.03,0,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,couvert,284.99,75,1012,1012,1002,4.63,300,0.0,0.0,100,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,nuageux,284.39,76,1016,1016,1008,4.12,340,0.0,0.0,75,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,pluie modérée,283.8,93,1016,1016,1013,5.66,290,0.0,1.4,100,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,couvert,290.4,38,1006,1006,999,7.15,348,10.73,0.0,100,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,nuageux,287.21,55,1015,1015,994,9.26,290,0.0,0.0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,288.11,46,1011,1011,978,7.2,350,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,couvert,286.56,67,1017,1017,1012,6.69,300,0.0,0.0,100,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,pluie modérée,284.21,72,1011,1011,1007,5.14,260,0.0,1.12,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,289.5,72,1003,1003,984,2.06,140,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,288.82,36,1009,1009,992,1.03,0,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,couvert,284.99,75,1012,1012,1002,4.63,300,0.0,0.0,100,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,nuageux,284.39,76,1016,1016,1008,4.12,340,0.0,0.0,75,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,pluie modérée,283.8,93,1016,1016,1013,5.66,290,0.0,1.4,100,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,couvert,290.4,38,1006,1006,999,7.15,348,10.73,0.0,100,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,nuageux,287.21,55,1015,1015,994,9.26,290,0.0,0.0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,288.11,46,1011,1011,978,7.2,350,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,couvert,286.56,67,1017,1017,1012,6.69,300,0.0,0.0,100,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,couvert,283.47,75,1011,1011,1007,4.63,270,0.0,0.0,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,289.37,71,1003,1003,984,2.06,90,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,289.85,34,1009,1009,992,1.54,0,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,légère pluie,283.81,89,1012,1012,1002,3.09,250,0.0,0.92,75,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,ciel dégagé,284.02,62,1016,1016,1009,7.72,340,0.0,0.0,0,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,nuageux,283.64,87,1016,1016,1013,4.63,330,0.0,0.0,75,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,couvert,289.73,37,1005,1005,994,2.68,295,12.07,0.0,100,2025-03-28 05:27:13,2025-03-28 17:59:25
Toulouse,nuageux,288.31,55,1015,1015,994,8.23,280,0.0,0.0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,286.94,47,1011,1011,979,3.6,10,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,nuageux,285.7,76,1017,1017,1012,6.17,290,0.0,0.0,75,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,couvert,283.53,77,1011,1011,1008,3.6,260,0.0,0.0,100,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,288.64,71,1003,1003,983,2.06,70,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,287.87,41,1009,1009,993,1.03,280,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,pluie modérée,283.54,94,1013,1013,1003,3.6,260,0.0,1.41,75,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,nuageux,283.03,66,1017,1017,1010,9.26,330,0.0,0.0,75,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,ciel dégagé,283.36,76,1017,1017,1014,2.57,350,0.0,0.0,0,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,nuageux,289.16,38,1005,1005,998,2.68,4,8.94,0.0,83,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,légère pluie,287.21,55,1016,1016,994,8.23,280,0.0,0.15,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,286.8,51,1011,1011,979,5.66,320,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,nuageux,285.7,76,1017,1017,1012,7.2,290,0.0,0.0,75,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,nuageux,283.11,75,1012,1012,1009,3.09,280,0.0,0.0,75,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,287.34,77,1003,1003,983,2.06,70,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,284.81,50,1009,1009,993,1.54,280,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,légère pluie,279.79,93,1013,1013,1004,7.2,300,0.0,0.73,100,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,peu nuageux,280.5,66,1018,1018,1011,5.66,340,0.0,0.0,20,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,partiellement nuageux,282.13,71,1018,1018,1015,2.57,340,0.0,0.0,40,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,ciel dégagé,288.58,40,1006,1006,999,3.58,355,8.49,0.0,2,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,nuageux,285.09,58,1017,1017,996,11.83,300,0.0,0.0,75,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,285.71,51,1012,1012,980,5.66,310,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,pluie modérée,283.94,93,1018,1018,1013,5.66,280,0.0,1.18,100,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,nuageux,282.74,78,1012,1012,1009,2.06,300,0.0,0.0,75,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,287.05,77,1003,1003,984,1.54,60,0.0,0.0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,282.8,58,1010,1010,993,1.54,280,0.0,0.0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,légère pluie,280.1,91,1014,1014,1004,3.6,300,0.0,0.25,100,2025-03-28 05:36:30,2025-03-28 18:14:41
Rennes,ciel dégagé,277.98,71,1019,1019,1012,5.66,320,0.0,0.0,0,2025-03-28 05:53:01,2025-03-28 18:30:18
Nantes,peu nuageux,281.99,66,1020,1020,1016,4.12,340,0.0,0.0,20,2025-03-28 05:52:58,2025-03-28 18:29:16
Marseille,ciel dégagé,287.42,42,1006,1006,999,9.39,274,12.96,0.0,0,2025-03-28 05:27:14,2025-03-28 17:59:26
Toulouse,ciel dégagé,284.19,66,1018,1018,996,7.72,290,0.0,0.0,0,2025-03-28 05:42:56,2025-03-28 18:15:27
Lyon,ciel dégagé,285.59,51,1012,1012,980,5.66,310,0.0,0.0,0,2025-03-28 05:28:12,2025-03-28 18:02:51
Bordeaux,pluie modérée,283.94,93,1019,1019,1014,4.63,260,0.0,2.53,75,2025-03-28 05:50:19,2025-03-28 18:24:04
Lille,ciel dégagé,281.19,78,1013,1013,1010,2.57,310,0.0,0,0,2025-03-28 05:32:29,2025-03-28 18:12:50
Nice,ciel dégagé,286.27,72,1003,1003,984,3.09,310,0.0,0,0,2025-03-28 05:19:39,2025-03-28 17:52:13
Strasbourg,ciel dégagé,281.87,62,1010,1010,993,2.06,260,0.0,0,0,2025-03-28 05:15:02,2025-03-28 17:52:49
Paris,couvert,279.3,92,1014,1014,1004,4.63,300,0.0,0,100,2025-03-28 05:36:30,2025-03-28 18:14:41
