Ville,Information_Qualite_Air,Indice_IQA_PM_25,Indice_IQA_PM_10,Indice_IQA_No2,Indice_IQA_So2,Indice_IQA_Ozone,Temperature (°C),Humidite_AQ,Vent,date
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,37,26,10,8.4,1.1,37.4,17.0,72.0,3.0,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,51,51,19,12.4,0.6,29.8,12.2,64.2,2.5,2025-03-28
Rennes,34,21,7,3.6,,34.0,10.0,87.0,5.1,2025-03-28
Nantes,24,8,3,3.0,,24.1,12.0,93.0,5.1,2025-03-28
Marseille,35,21,18,6.1,0.4,34.6,17.2,42.0,8.0,2025-03-28
Toulouse,57,57,19,2.6,,34.7,16.5,49.5,8.4,2025-03-28
Lyon,33,45,,3.6,,32.5,15.0,51.0,4.1,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,34,21,7,3.6,,34.0,10.0,87.0,5.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,57,57,19,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,33,21,7,3.6,,33.3,12.0,76.0,4.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,52,52,16,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,33,21,7,3.6,,33.3,12.0,76.0,4.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,52,52,16,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,33,21,7,3.6,,33.3,12.0,76.0,4.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
