Ville,Description_Temps,Température_Ressentie (°C),Humidite_WM,Pression_Atmosphérique (hPa),Niveau_Mer (hPa),Pression_Sol (hPa),Vitesse_Vent (m/sec),Direction_Vent (DEG),Rafales_Vent (m/sec),Précipitations_1h (mm/h),Couverture_Nuageuse (%),Heure_Lever_Soleil,Heure_Coucher_Soleil
Nice,peu nuageux,287.9,81,1012,1012,993,3.09,330,0.0,0.0,20,2025-04-18 04:43:00,2025-04-18 18:17:14
Strasbourg,couvert,279.53,81,1016,1016,999,2.57,260,0.0,0.0,100,2025-04-18 04:32:31,2025-04-18 18:23:43
Paris,ciel dégagé,283.05,73,1015,1015,1005,3.09,140,0.0,0.0,0,2025-04-18 04:53:36,2025-04-18 18:45:57
Rennes,légère pluie,279.24,93,1010,1010,1002,5.66,140,0.0,0.14,100,2025-04-18 05:11:09,2025-04-18 19:00:32
Nantes,couvert,282.54,87,1010,1010,1007,3.6,150,0.0,0.0,100,2025-04-18 05:12:12,2025-04-18 18:58:24
Marseille,ciel dégagé,283.87,70,1014,1014,1007,1.79,4,5.36,0.0,3,2025-04-18 04:51:01,2025-04-18 18:24:00
Toulouse,peu nuageux,283.36,76,1014,1014,992,3.09,120,0.0,0.0,20,2025-04-18 05:06:24,2025-04-18 18:40:21
Lyon,peu nuageux,282.44,85,1017,1017,984,1.54,0,0.0,0.0,20,2025-04-18 04:49:13,2025-04-18 18:30:12
Bordeaux,ciel dégagé,285.33,62,1011,1011,1006,6.17,140,0.0,0.0,0,2025-04-18 05:12:24,2025-04-18 18:50:21
Nice,peu nuageux,288.75,74,1013,1013,994,1.03,0,0.0,0,20,2025-04-18 04:43:00,2025-04-18 18:17:14
Strasbourg,couvert,279.19,81,1016,1016,999,3.09,240,0.0,0,100,2025-04-18 04:32:31,2025-04-18 18:23:43
Paris,ciel dégagé,284.99,66,1014,1014,1004,4.12,150,0.0,0,0,2025-04-18 04:53:36,2025-04-18 18:45:57
Rennes,bruine légère,279.24,93,1010,1010,1002,5.66,140,0.0,0,100,2025-04-18 05:11:09,2025-04-18 19:00:32
Nantes,couvert,283.51,82,1010,1010,1006,4.12,160,0.0,0,100,2025-04-18 05:12:12,2025-04-18 18:58:24
Marseille,ciel dégagé,284.95,63,1014,1014,1007,2.68,313,5.36,0,5,2025-04-18 04:51:01,2025-04-18 18:24:00
Toulouse,ciel dégagé,286.42,67,1013,1013,991,3.09,120,0.0,0,0,2025-04-18 05:06:24,2025-04-18 18:40:21
Lyon,peu nuageux,283.21,71,1017,1017,984,1.54,0,0.0,0,20,2025-04-18 04:49:13,2025-04-18 18:30:12
Bordeaux,ciel dégagé,286.33,58,1011,1011,1006,6.69,130,0.0,0,0,2025-04-18 05:12:24,2025-04-18 18:50:21
Nice,ciel dégagé,291.91,70,1014,1014,995,2.06,170,0.0,0,0,2025-04-22 04:36:35,2025-04-22 18:22:02
Strasbourg,ciel dégagé,290.37,52,1017,1017,1000,1.54,50,0.0,0,0,2025-04-22 04:25:00,2025-04-22 18:29:37
Paris,ciel dégagé,287.52,71,1018,1018,1008,2.57,300,0.0,0,0,2025-04-22 04:46:01,2025-04-22 18:51:56
Rennes,nuageux,286.22,62,1019,1019,1011,4.12,230,0.0,0,75,2025-04-22 05:03:45,2025-04-22 19:06:19
Nantes,ciel dégagé,287.29,58,1020,1020,1017,6.17,260,0.0,0,0,2025-04-22 05:05:01,2025-04-22 19:03:59
Marseille,couvert,291.05,61,1014,1014,1007,3.58,237,6.26,0,100,2025-04-22 04:44:42,2025-04-22 18:28:44
Toulouse,couvert,287.42,63,1022,1022,1000,4.63,310,0.0,0,100,2025-04-22 05:00:00,2025-04-22 18:45:08
Lyon,ciel dégagé,291.2,54,1017,1017,985,5.14,350,0.0,0,0,2025-04-22 04:42:22,2025-04-22 18:35:27
Bordeaux,ciel dégagé,289.45,51,1021,1021,1016,5.66,300,0.0,0,0,2025-04-22 05:05:45,2025-04-22 18:55:23
Nice,ciel dégagé,291.36,76,1014,1014,995,1.54,210,0.0,0,0,2025-04-22 04:36:35,2025-04-22 18:22:02
Strasbourg,ciel dégagé,289.42,59,1017,1017,1000,1.03,340,0.0,0,0,2025-04-22 04:25:00,2025-04-22 18:29:37
Paris,ciel dégagé,287.26,74,1018,1018,1008,2.06,170,0.0,0,0,2025-04-22 04:46:01,2025-04-22 18:51:57
Rennes,ciel dégagé,286.12,58,1019,1019,1011,4.12,230,0.0,0,0,2025-04-22 05:03:45,2025-04-22 19:06:19
Nantes,ciel dégagé,286.29,62,1020,1020,1017,4.63,260,0.0,0,0,2025-04-22 05:05:01,2025-04-22 19:03:59
Marseille,couvert,291.2,66,1015,1015,1007,0.45,267,0.89,0,100,2025-04-22 04:44:41,2025-04-22 18:28:44
Toulouse,couvert,286.55,72,1022,1022,1000,4.63,280,0.0,0,100,2025-04-22 05:00:00,2025-04-22 18:45:08
Lyon,ciel dégagé,290.2,58,1017,1017,985,4.63,360,0.0,0,0,2025-04-22 04:42:22,2025-04-22 18:35:27
Bordeaux,ciel dégagé,288.35,51,1021,1021,1016,5.66,290,0.0,0,0,2025-04-22 05:05:45,2025-04-22 18:55:23
Nice,ciel dégagé,289.88,76,1015,1015,996,2.06,220,0.0,0,0,2025-04-22 04:36:35,2025-04-22 18:22:02
Strasbourg,ciel dégagé,288.5,67,1018,1018,1001,1.54,40,0.0,0,0,2025-04-22 04:25:00,2025-04-22 18:29:37
Paris,ciel dégagé,286.79,72,1018,1018,1008,2.06,130,0.0,0,0,2025-04-22 04:46:01,2025-04-22 18:51:56
Rennes,couvert,286.22,62,1019,1019,1012,3.6,230,0.0,0,100,2025-04-22 05:03:45,2025-04-22 19:06:19
Nantes,ciel dégagé,285.32,67,1020,1020,1017,4.63,260,0.0,0,0,2025-04-22 05:05:01,2025-04-22 19:03:59
Marseille,couvert,291.12,66,1015,1015,1004,4.21,286,7.63,0,100,2025-04-22 04:44:41,2025-04-22 18:28:42
Toulouse,couvert,285.56,76,1023,1023,1001,5.14,270,0.0,0,100,2025-04-22 05:00:00,2025-04-22 18:45:08
Lyon,ciel dégagé,288.65,66,1018,1018,986,3.09,360,0.0,0,0,2025-04-22 04:42:22,2025-04-22 18:35:27
Bordeaux,ciel dégagé,286.43,62,1022,1022,1017,3.09,290,0.0,0,0,2025-04-22 05:05:45,2025-04-22 18:55:23
Nice,ciel dégagé,289.24,76,1015,1015,996,2.06,230,0.0,0,0,2025-04-22 04:36:35,2025-04-22 18:22:02
Strasbourg,ciel dégagé,286.72,82,1018,1018,1002,1.03,360,0.0,0,0,2025-04-22 04:25:00,2025-04-22 18:29:37
Paris,ciel dégagé,286.31,79,1019,1019,1009,2.57,120,0.0,0,0,2025-04-22 04:46:01,2025-04-22 18:51:56
Rennes,couvert,285.12,62,1020,1020,1012,4.63,220,0.0,0,100,2025-04-22 05:03:45,2025-04-22 19:06:19
Nantes,peu nuageux,283.51,82,1021,1021,1018,2.57,220,0.0,0,20,2025-04-22 05:05:01,2025-04-22 19:03:59
Marseille,couvert,288.95,75,1016,1016,1008,4.79,276,7.15,0,85,2025-04-22 04:44:41,2025-04-22 18:28:44
Toulouse,ciel dégagé,285.43,71,1024,1024,1001,5.14,260,0.0,0,0,2025-04-22 05:00:00,2025-04-22 18:45:08
Lyon,ciel dégagé,286.97,71,1019,1019,987,3.09,350,0.0,0,0,2025-04-22 04:42:22,2025-04-22 18:35:27
Bordeaux,ciel dégagé,285.46,67,1023,1023,1018,3.09,280,0.0,0,0,2025-04-22 05:05:45,2025-04-22 18:55:23
Nice,ciel dégagé,289.05,75,1015,1015,996,2.06,260,0.0,0,0,2025-04-22 04:36:35,2025-04-22 18:22:02
Strasbourg,ciel dégagé,285.61,82,1018,1018,1002,0.51,0,0.0,0,0,2025-04-22 04:25:00,2025-04-22 18:29:37
Paris,ciel dégagé,285.67,83,1019,1019,1009,1.54,110,0.0,0,0,2025-04-22 04:46:01,2025-04-22 18:51:56
Rennes,ciel dégagé,284.13,66,1019,1019,1011,4.12,200,0.0,0,0,2025-04-22 05:03:45,2025-04-22 19:06:19
Nantes,ciel dégagé,283.51,82,1021,1021,1018,2.57,230,0.0,0,0,2025-04-22 05:05:01,2025-04-22 19:03:59
Marseille,couvert,287.85,80,1016,1016,1009,4.95,284,7.27,0,88,2025-04-22 04:44:41,2025-04-22 18:28:44
Toulouse,ciel dégagé,284.46,76,1024,1024,1002,4.12,270,0.0,0,0,2025-04-22 05:00:00,2025-04-22 18:45:08
Lyon,ciel dégagé,285.9,74,1019,1019,987,3.6,330,0.0,0,0,2025-04-22 04:42:22,2025-04-22 18:35:27
Bordeaux,ciel dégagé,284.6,76,1024,1024,1019,2.06,260,0.0,0,0,2025-04-22 05:05:45,2025-04-22 18:55:23
Nice,ciel dégagé,288.88,74,1015,1015,996,2.06,300,0.0,0.0,0,2025-04-22 04:36:35,2025-04-22 18:22:02
Strasbourg,ciel dégagé,283.57,87,1018,1018,1002,1.03,270,0.0,0.0,0,2025-04-22 04:25:00,2025-04-22 18:29:37
Paris,ciel dégagé,285.46,85,1019,1019,1009,2.06,160,0.0,0.0,0,2025-04-22 04:46:01,2025-04-22 18:51:56
Rennes,légère pluie,283.45,82,1018,1018,1011,4.12,200,0.0,0.13,0,2025-04-22 05:03:45,2025-04-22 19:06:19
Nantes,couvert,283.51,82,1020,1020,1017,3.6,210,0.0,0.0,100,2025-04-22 05:05:01,2025-04-22 19:03:59
Marseille,couvert,286.71,83,1016,1016,1009,5.03,297,7.65,0.0,91,2025-04-22 04:44:41,2025-04-22 18:28:44
Toulouse,ciel dégagé,283.64,87,1024,1024,1002,3.6,250,0.0,0.0,0,2025-04-22 05:00:00,2025-04-22 18:45:08
Lyon,ciel dégagé,285.14,76,1020,1020,988,3.09,330,0.0,0.0,0,2025-04-22 04:42:22,2025-04-22 18:35:27
Bordeaux,ciel dégagé,282.69,87,1024,1024,1019,1.54,230,0.0,0.0,0,2025-04-22 05:05:45,2025-04-22 18:55:23
Nice,partiellement nuageux,292.53,68,1014,1014,995,4.12,100,0.0,0.0,40,2025-04-26 04:30:26,2025-04-26 18:26:50
Strasbourg,nuageux,286.51,72,1018,1018,1001,4.12,40,0.0,0.0,75,2025-04-26 04:17:45,2025-04-26 18:35:31
Paris,ciel dégagé,288.34,69,1019,1019,1009,4.63,30,0.0,0.0,0,2025-04-26 04:38:42,2025-04-26 18:57:54
Rennes,ciel dégagé,285.65,82,1020,1020,1012,3.09,350,0.0,0.0,0,2025-04-26 04:56:38,2025-04-26 19:12:06
Nantes,pluie modérée,284.93,94,1019,1019,1016,2.57,360,0.0,2.37,100,2025-04-26 04:58:07,2025-04-26 19:09:33
Marseille,couvert,291.34,51,1014,1014,1006,4.02,267,5.81,0.0,94,2025-04-26 04:38:37,2025-04-26 18:33:27
Toulouse,légère pluie,286.03,94,1018,1018,996,4.63,290,0.0,0.85,75,2025-04-26 04:53:53,2025-04-26 18:49:55
Lyon,nuageux,285.94,73,1015,1015,983,2.57,340,0.0,0.0,75,2025-04-26 04:35:47,2025-04-26 18:40:41
Bordeaux,nuageux,287.93,77,1018,1018,1013,5.14,300,0.0,0.0,75,2025-04-26 04:59:22,2025-04-26 19:00:26
Nice,partiellement nuageux,292.53,68,1014,1014,995,4.12,100,0.0,0.0,40,2025-04-26 04:30:26,2025-04-26 18:26:50
Strasbourg,nuageux,286.51,72,1018,1018,1001,4.12,40,0.0,0.0,75,2025-04-26 04:17:45,2025-04-26 18:35:31
Paris,ciel dégagé,288.1,69,1019,1019,1009,4.63,30,0.0,0.0,0,2025-04-26 04:38:42,2025-04-26 18:57:54
Rennes,ciel dégagé,285.65,82,1020,1020,1012,3.09,350,0.0,0.0,0,2025-04-26 04:56:38,2025-04-26 19:12:06
Nantes,pluie modérée,284.93,94,1019,1019,1016,2.57,360,0.0,3.16,100,2025-04-26 04:58:07,2025-04-26 19:09:33
Marseille,couvert,291.39,53,1014,1014,1006,2.68,277,7.15,0.0,94,2025-04-26 04:38:37,2025-04-26 18:33:27
Toulouse,légère pluie,286.03,94,1018,1018,996,4.63,290,0.0,0.84,75,2025-04-26 04:53:53,2025-04-26 18:49:55
Lyon,nuageux,285.94,73,1015,1015,983,2.57,340,0.0,0.0,75,2025-04-26 04:35:47,2025-04-26 18:40:41
Bordeaux,nuageux,287.93,77,1018,1018,1013,5.14,300,0.0,0.0,75,2025-04-26 04:59:22,2025-04-26 19:00:26
Nice,partiellement nuageux,289.28,91,1003,1003,983,2.06,300,0.0,0.0,40,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,couvert,279.57,71,1010,1010,995,8.75,40,0.0,0.0,100,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,ciel dégagé,278.76,73,1016,1016,1006,6.69,30,0.0,0.0,0,2025-05-05 04:23:27,2025-05-05 19:11:11
Rennes,couvert,278.18,76,1018,1018,1011,5.14,20,0.0,0.0,100,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,peu nuageux,279.51,71,1017,1017,1013,5.14,20,0.0,0.0,20,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,légère pluie,286.83,90,1005,1005,998,5.81,300,6.26,0.26,100,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,couvert,285.87,88,1009,1009,987,5.14,300,0.0,0.0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,280.14,81,1008,1008,976,6.69,320,0.0,0.0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,282.4,76,1012,1012,1007,5.66,20,0.0,0.0,0,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,nuageux,290.56,86,1002,1002,983,1.54,0,0.0,0.0,75,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,couvert,279.7,71,1011,1011,995,8.23,40,0.0,0.0,100,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,ciel dégagé,279.36,68,1016,1016,1006,7.2,20,0.0,0.0,0,2025-05-05 04:23:28,2025-05-05 19:11:14
Rennes,légère pluie,279.43,76,1018,1018,1011,5.14,20,0.0,0.29,75,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,peu nuageux,281.99,66,1017,1017,1013,5.14,30,0.0,0.0,20,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,légère pluie,286.81,89,1005,1005,998,5.81,302,6.26,0.36,98,2025-05-05 04:26:07,2025-05-05 18:44:00
Toulouse,couvert,285.87,88,1009,1009,987,6.17,320,0.0,0.0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,279.99,81,1008,1008,976,7.2,330,0.0,0.0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,284.34,66,1012,1012,1007,5.66,20,0.0,0.0,0,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,nuageux,290.56,86,1002,1002,983,1.54,0,0.0,0.0,75,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,couvert,279.74,71,1011,1011,995,8.23,40,0.0,0.0,100,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,ciel dégagé,279.89,68,1016,1016,1006,7.2,20,0.0,0.0,0,2025-05-05 04:23:27,2025-05-05 19:11:11
Rennes,légère pluie,279.43,76,1018,1018,1011,5.14,20,0.0,0.15,75,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,peu nuageux,281.99,66,1017,1017,1013,5.14,30,0.0,0.0,20,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,légère pluie,286.73,86,1005,1005,998,3.13,354,10.73,0.27,98,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,couvert,285.87,88,1009,1009,987,6.17,320,0.0,0.0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,279.83,81,1008,1008,976,7.2,330,0.0,0.0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,284.34,66,1012,1012,1007,5.66,20,0.0,0.0,0,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,pluie modérée,290.7,85,1002,1002,983,2.06,170,0.0,2.18,75,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,ciel dégagé,282.89,62,1011,1011,995,8.75,30,0.0,0.0,0,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,ciel dégagé,282.38,64,1016,1016,1006,7.2,20,0.0,0.0,0,2025-05-05 04:23:27,2025-05-05 19:11:11
Rennes,nuageux,280.34,71,1018,1018,1011,6.17,30,0.0,0.0,75,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,ciel dégagé,281.99,66,1017,1017,1014,5.14,30,0.0,0.0,0,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,couvert,287.27,83,1005,1005,998,2.68,317,4.02,0.0,98,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,couvert,285.87,88,1009,1009,988,5.66,310,0.0,0.0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,279.69,81,1009,1009,977,7.72,330,0.0,0.0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,285.33,62,1013,1013,1008,5.66,360,0.0,0.0,0,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,averses de pluie,290.38,90,1002,1002,983,2.06,210,0.0,1.4,75,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,ciel dégagé,282.89,62,1011,1011,995,8.75,30,0.0,0.0,0,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,ciel dégagé,282.34,64,1016,1016,1006,7.2,20,0.0,0.0,0,2025-05-05 04:23:26,2025-05-05 19:11:12
Rennes,nuageux,280.88,71,1018,1018,1011,4.63,30,0.0,0.0,75,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,peu nuageux,282.99,62,1017,1017,1014,6.17,20,0.0,0.0,20,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,couvert,287.22,81,1005,1005,998,4.47,306,8.49,0.0,98,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,nuageux,285.87,88,1009,1009,988,5.66,300,0.0,0.0,75,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,279.99,83,1009,1009,977,6.17,320,0.0,0.0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,285.33,62,1013,1013,1008,5.66,360,0.0,0.0,0,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,couvert,291.89,92,1002,1002,983,2.18,202,2.48,0,92,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,ciel dégagé,284.84,54,1011,1011,995,8.75,40,0.0,0,0,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,peu nuageux,283.65,57,1016,1016,1006,6.69,10,0.0,0,20,2025-05-05 04:23:27,2025-05-05 19:11:11
Rennes,couvert,280.5,66,1019,1019,1011,5.66,30,0.0,0,100,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,peu nuageux,283.88,54,1017,1017,1014,6.17,50,11.83,0,20,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,couvert,287.78,79,1005,1005,998,2.24,289,5.36,0,99,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,couvert,285.87,88,1009,1009,988,6.69,310,0.0,0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,279.95,83,1009,1009,977,6.69,330,0.0,0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,288.85,65,1013,1013,1008,5.36,9,6.58,0,6,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,partiellement nuageux,291.36,86,1002,1002,983,1.54,230,0.0,0,40,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,ciel dégagé,284.9,54,1011,1011,995,8.75,40,0.0,0,0,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,peu nuageux,283.89,55,1016,1016,1006,7.2,30,0.0,0,20,2025-05-05 04:23:27,2025-05-05 19:11:11
Rennes,couvert,282.92,62,1019,1019,1011,5.66,30,0.0,0,100,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,peu nuageux,283.88,54,1017,1017,1014,6.17,50,11.83,0,20,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,couvert,287.75,78,1005,1005,998,3.13,306,5.36,0,99,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,couvert,285.87,88,1010,1010,988,5.14,290,0.0,0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,280.12,81,1009,1009,977,6.69,330,0.0,0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,ciel dégagé,288.83,64,1013,1013,1008,5.36,9,6.58,0,6,2025-05-05 04:46:10,2025-05-05 19:11:40
Nice,partiellement nuageux,291.27,85,1002,1002,983,8.23,210,0.0,0,40,2025-05-05 04:17:45,2025-05-05 18:37:33
Strasbourg,couvert,284.57,60,1012,1012,995,5.47,34,7.24,0,100,2025-05-05 04:02:39,2025-05-05 18:48:39
Paris,peu nuageux,285.68,50,1016,1016,1006,7.2,30,0.0,0,20,2025-05-05 04:23:27,2025-05-05 19:11:11
Rennes,couvert,282.92,62,1018,1018,1011,6.17,30,0.0,0,100,2025-05-05 04:41:49,2025-05-05 19:24:57
Nantes,nuageux,285.82,44,1017,1017,1013,5.66,20,0.0,0,75,2025-05-05 04:43:45,2025-05-05 19:21:57
Marseille,couvert,288.29,74,1005,1005,998,4.02,288,5.81,0,99,2025-05-05 04:26:06,2025-05-05 18:44:00
Toulouse,couvert,286.68,77,1010,1010,988,5.66,290,0.0,0,100,2025-05-05 04:41:14,2025-05-05 19:00:36
Lyon,couvert,282.65,87,1009,1009,977,6.17,320,0.0,0,100,2025-05-05 04:22:09,2025-05-05 18:52:21
Bordeaux,peu nuageux,288.45,55,1013,1013,1008,6.17,350,0.0,0,20,2025-05-05 04:46:10,2025-05-05 19:11:40
